Band,Album,Date Published,Nerd Date
Angra,Secret Garden,2015-1-14,3630268800
Freddy and the Phantoms,Times of Division,2015-1-23,3631046400
Visigoth,The Revenant King,2015-1-27,3631392000
A Swarm of the Sun,The Rifts,2015-1-31,3631737600
Putrid Offal,Mature Necropsy,2015-2-5,3632169600
Vassafor/Temple Nightside,Call of the Maelstrom,2015-2-19,3633379200
Crypt Sermon,Out of the Garden,2015-2-22,3633638400
Imperial Triumphant,Abyssal Gods,2015-2-25,3633897600
Kjeld,Skym,2015-3-3,3634416000
Galar,De gjenlevende,2015-3-10,3635020800
Frosthelm,The Endless Winter,2015-3-13,3635280000
Perdition Temple,The Tempter’s Victorious,2015-3-16,3635539200
Alkaloid,The Malkuth Grimoire,2015-3-17,3635625600
Oceanwake,Sunless,2015-3-18,3635712000
Ketha,#​!​%​16​.​7,2015-3-18,3635712000
Unrest,Grindcore,2015-3-21,3635971200
Wino and Conny Ochs,Freedom Conspiracy,2015-3-22,3636057600
The Order of Apollyon,The Sword and the Dagger,2015-3-27,3636489600
Steven Wilson,Hand. Cannot. Erase.,2015-3-29,3636662400
Ufomammut,Ecate,2015-3-30,3636748800
Heidevolk,Velua,2015-4-2,3637008000
Royal Thunder,Crooked Doors,2015-4-8,3637526400
Sulphur Aeon,Gateway to the Antisphere,2015-4-8,3637526400
Infernal War,Axiom,2015-4-9,3637612800
Akhlys,The Dreaming I,2015-4-11,3637785600
Outre,Ghost Chants,2015-4-12,3637872000
Unleashed,Dawn Of The Nine,2015-4-20,3638563200
Ninkharsag,The Blood of Celestial Kings,2015-5-8,3640118400
Ironsword,None But the Brave,2015-5-14,3640636800
Secrets of the Sky,Pathway,2015-5-16,3640809600
Pyramaze,Disciples of the Sun,2015-5-22,3641328000
Amestigon,Thier,2015-5-27,3641760000
Wilderun,Sleep at the Edge of the Earth,2015-6-2,3642278400
Pyrrhon,Growth Without End,2015-6-4,3642451200
Night Flight Orchestra,Skyline Whispers,2015-6-10,3642969600
Thornesbreed,GTRD,2015-6-19,3643747200
Goatsnake,Black Age Blues,2015-6-20,3643833600
Lorna Shore,Psalms,2015-6-23,3644092800
The Armed,Untitled,2015-6-26,3644352000
Failure,The Heart Is A Monster,2015-6-28,3644524800
Author & Punisher,Melk En Honing,2015-7-1,3644784000
Kingcrow,Eidos,2015-7-2,3644870400
Alustrium,A Tunnel to Eden,2015-7-16,3646080000
Destruktor,Opprobrium,2015-7-19,3646339200
Kronos,Arisen New Era,2015-7-21,3646512000
Locrian,Infinite Dissolution,2015-7-23,3646684800
Symphony X,Underworld,2015-7-26,3646944000
Cattle Decapitation,The Anthropocene Extinction,2015-7-26,3646944000
Kataklysm,Of Ghosts and Gods,2015-7-30,3647289600
Hope Drone,Cloak of Ash,2015-8-2,3647548800
Trials,This Ruined World,2015-8-4,3647721600
Deathwhite,Solitary Martyr EP,2015-8-10,3648240000
Krallice,Ygg huur,2015-8-11,3648326400
Scythian,Hubris In Excelsis,2015-8-15,3648672000
Ghost,Meliora,2015-8-16,3648758400
Myrkur,M,2015-8-17,3648844800
Pentagram,Curious Volume,2015-8-20,3649104000
Chelsea Wolfe,Abyss,2015-8-21,3649190400
