Vuur,In This Moment We Are Free – Cities,2017-10-24,Exhumed,Death Revenge,2017-10-25,1
Exhumed,Death Revenge,2017-10-25,Sicarius,Serenade of Slitting Throats,2017-10-26,1
Keldian,Darkness and Light,2017-11-4,Motherslug,The Electric Dunes of Titan,2017-11-5,1
Hobosexual,Monolith,2017-11-12,Desolate Shrine,Deliverance from the Godless Void,2017-11-13,1
Hamferð,Támsins likam,2018-1-10,Halphas,Dawn of a Crimson Empire,2018-1-11,1
Ocean of Grief,Nightfall’s Lament,2018-1-21,Heidevolk,Vuur van Verzet,2018-1-22,1
Tribulation,Down Below,2018-1-22,Portal,Ion,2018-1-23,1
Portal,Ion,2018-1-23,Hooded Menace,Ossuarium Silhouettes Unhallowed,2018-1-24,1
Hooded Menace,Ossuarium Silhouettes Unhallowed,2018-1-24,Orphaned Land,Unsung Prophets & Dead Messiahs,2018-1-25,1
Orphaned Land,Unsung Prophets & Dead Messiahs,2018-1-25,Agrimonia,Awaken,2018-1-26,1
Thaurorod,Coast of Gold,2018-2-18,The Atlas Moth,Coma Noir,2018-2-19,1
Necropanther,Eyes of Blue Light,2018-3-3,Among The Rocks And Roots,Raga,2018-3-4,1
Mournful Congregation,The Incubus of Karma,2018-3-20,Slaves BC,"Lo, and I Am Burning",2018-3-21,1
Slaves BC,"Lo, and I Am Burning",2018-3-21,The Crown,Cobra Speed Venom,2018-3-22,1
Necrophobic,Mark of the Necrogram,2018-3-22,Death Alley,Superbia,2018-3-23,1
Barren Earth,A Complex of Cages,2018-3-28,Augury,Illusive Golden Age,2018-3-29,1
Morrow,Fallow,2018-3-29,Altars of Grief,Iris,2018-3-30,1
Voices,Frightened,2018-4-25,Boss Keloid,Melted on the Inch,2018-4-26,1
Anicon,Entropy Mantra,2018-6-24,The Night Flight Orchestra,Sometimes the World Ain’t Enough,2018-6-25,1
Imperial Triumphant,Vile Luxury,2018-7-10,Obscura,Diluvium,2018-7-11,1
Obscura,Diluvium,2018-7-11,Between the Buried and Me,Automata II,2018-7-12,1
Bonjour Tristesse,Your Ultimate Urban Nightmare,2018-8-5,Sacrificed Alliance,Withdrawn,2018-8-6,1
Allfather,And All Will Be Desolation,2018-9-5,Monstrosity,The Passage of Existence,2018-9-6,1
Betzefer,Entertain Your Force of Habit,2018-9-18,Madder Mortem,Marrow,2018-9-19,1
Madder Mortem,Marrow,2018-9-19,Sumac,Love in Shadow,2018-9-20,1
Brainstorm,Midnight Ghost,2018-9-23,Riverside,Wasteland,2018-9-24,1
Horrendous,Idol,2018-9-26,Immortal Guardian,Age of Revolution,2018-9-27,1
Immortal Guardian,Age of Revolution,2018-9-27,Heads for the Dead,Serpent’s Curse,2018-9-28,1
Gorod,Æthra,2018-10-21,Eneferens,The Bleakness of Our Constant,2018-10-22,1
Eneferens,The Bleakness of Our Constant,2018-10-22,Into Eternity,The Sirens,2018-10-23,1
Into Eternity,The Sirens,2018-10-23,Outre,Hollow Earth,2018-10-24,1
Devouring Star,The Arteries of Heresy,2018-10-27,The Ocean,Phanerozoic I: Palaeozoic,2018-10-28,1
Arsis,Visitant,2018-10-28,Lifelost,Dialogues From Beyond,2018-10-29,1
Décembre Noir,Autumn Kings,2018-11-7,Cripple Bastards,La Fine Cresce da Dentro,2018-11-8,1
Sulphur Aeon,The Scythe of Cosmic Chaos,2018-12-16,Beaten to Death,Agronomicon,2018-12-17,1
Hollow Leg,Civilizations,2019-1-23,Soulmass,The Weakness of Virtue,2019-1-24,1
Misery Index,Rituals of Power,2019-3-3,Sinmara,Hvísl Stjarnanna,2019-3-4,1
Ataraxie,Résignés,2019-3-6,Equipoise,Demiurgus,2019-3-7,1
Venom Prison,Samsara,2019-3-17,Gomorrah,Gomorrah,2019-3-18,1
Gomorrah,Gomorrah,2019-3-18,Aephanemer,Prokopton,2019-3-19,1
Aephanemer,Prokopton,2019-3-19,Ashen Horde,Fallen Cathedrals,2019-3-20,1
Ashen Horde,Fallen Cathedrals,2019-3-20,Sermon,Birth of the Marvellous,2019-3-21,1
Crown of Autumn,Byzantine Horizons,2019-4-1,Waste of Space Orchestra,Syntheosis,2019-4-2,1
Moon Tooth,Crux,2019-4-4,Wormwitch,Heaven That Dwells Within,2019-4-5,1
Vous Autres,Champ du Sang,2019-4-7,Inter Arma,Sulphur English,2019-4-8,1
Inter Arma,Sulphur English,2019-4-8,Violet Cold,kOsmik,2019-4-9,1
Istapp,The Insidious Star,2019-4-24,Belzebubs,Pantheon of the Nightside Gods,2019-4-25,1
Idle Hands,Mana,2019-5-5,Spirit Adrift,Divided by Darkness,2019-5-6,1
